Trial,Family,Temp,Lux,Density,Sturgeon.surv,Heptageniidae.surv,Catostomidae.surv,Sturgeon,Heptageniidae,Catostomidae
1,128,10,0,1,0.9375,0.40625,0.875,30,13,28
2,91,10,0,1,0.875,0.4375,0.84375,28,14,27
3,134,10,0,1,0.90625,0.375,0.875,29,12,28
4,36,10,0,1,0.84375,0.46875,0.9375,27,15,30
5,23,10,0,1,0.59375,0.25,0.34375,19,8,11
6,26,10,0,1,0.96875,0.65625,0.8125,31,21,26
7,42,10,0,1,0.84375,0.40625,0.71875,27,13,23
8,53,10,0,1,0.90625,0.5625,0.75,29,18,24
9,128,10,0,2,0.75,0.75,0.875,6,6,7
10,91,10,0,2,1,0.875,1,8,7,8
11,134,10,0,2,1,0.75,1,8,6,8
12,36,10,0,2,0.875,0.75,1,7,6,8
13,23,10,0,2,0.75,0.5,0.625,6,4,5
14,26,10,0,2,0.75,0.75,0.875,6,6,7
15,42,10,0,2,0.875,0.625,0.875,7,5,7
16,53,10,0,2,0.75,1,0.875,6,8,7
17,128,18,0,1,0.75,0.4375,0.78125,24,14,25
18,134,18,0,1,0.75,0.3125,0.65625,24,10,21
19,36,18,0,1,0.71875,0.375,0.875,23,12,28
20,91,18,0,1,0.8125,0.375,0.75,26,12,24
21,23,18,0,1,0.625,0.5625,0.71875,20,18,23
22,26,18,0,1,0.53125,0.4375,0.6875,17,14,22
23,128,18,0,2,0.875,0.5,0.875,7,4,7
24,134,18,0,2,0.75,0.625,0.875,6,5,7
25,36,18,0,2,0.875,0.625,1,7,5,8
26,91,18,0,2,0.875,0.375,0.875,7,3,7
27,23,18,0,2,1,0.625,0.875,8,5,7
28,26,18,0,2,0.875,0.375,0.625,7,3,5
29,128,10,0.2,1,0.34375,0.1875,0.8125,11,6,26
30,91,10,0.2,1,0.625,0.1875,0.34375,20,6,11
31,134,10,0.2,1,0.34375,0.15625,0.71875,11,5,23
32,36,10,0.2,1,0.09375,0.125,0.78125,3,4,25
33,23,10,0.2,1,0.46875,0.25,0.625,15,8,20
34,26,10,0.2,1,0.65625,0.3125,0.59375,21,10,19
35,42,10,0.2,1,0.875,0.15625,0.75,28,5,24
36,53,10,0.2,1,0.875,0.21875,0.8125,28,7,26
37,128,10,0.2,2,0.25,0.125,0.875,2,1,7
38,91,10,0.2,2,0.375,0.25,0.875,3,2,7
39,134,10,0.2,2,0.375,0.25,0.75,3,2,6
40,36,10,0.2,2,0.875,0.25,0.75,7,2,6
41,23,10,0.2,2,0.375,0.375,0.875,3,3,7
42,26,10,0.2,2,0.625,0.125,0.75,5,1,6
43,42,10,0.2,2,0.625,0.625,0.625,5,5,5
44,53,10,0.2,2,0.75,0.125,0.625,6,1,5
45,134,18,0.2,1,0.5,0.3125,0.5625,16,10,18
46,128,18,0.2,1,0.125,0.09375,0.8125,4,3,26
47,36,18,0.2,1,0.0625,0.1875,0.9375,2,6,30
48,91,18,0.2,1,0.09375,0.15625,0.9375,3,5,30
49,23,18,0.2,1,0.25,0,0.375,8,0,12
50,26,18,0.2,1,0.28125,0.125,0.1875,9,4,6
51,134,18,0.2,2,0.5,0.125,0.75,4,1,6
52,128,18,0.2,2,0.25,0.25,1,2,2,8
53,36,18,0.2,2,0.125,0,1,1,0,8
54,91,18,0.2,2,0.125,0.125,1,1,1,8
55,23,18,0.2,2,0.25,0,0.5,2,0,4
56,26,18,0.2,2,0.5,0.375,0.25,4,3,2
